Student_ID,Branch,Grade,Study_Hours,IQ,Age,Weight,Parents_Income
Student_0096,Biology,F,1,124,19,68,144429
Student_0097,Biology,C,21,105,22,88,108934
Student_0098,Mathematics,C,32,157,22,71,141706
Student_0099,Biology,E,5,155,22,89,61482
Student_0100,History,E,1,87,22,62,88326
Student_0101,Biology,B,55,128,25,64,72111
Student_0102,Biology,B,41,122,21,95,104968
Student_0103,History,E,22,112,20,100,88204
Student_0104,Biology,A,2,159,25,78,108526
Student_0105,History,E,36,96,22,94,81369
Student_0106,Literature,D,1,88,23,50,42219
Student_0107,History,A,24,151,19,91,129080
Student_0108,Mathematics,F,32,90,20,53,109527
Student_0109,Mathematics,E,40,134,23,94,69325
Student_0110,Biology,D,53,107,18,80,107222
Student_0111,Engineering,A,19,104,24,52,40631
Student_0112,Engineering,A,0,138,24,87,84926
Student_0113,Literature,E,21,132,19,68,93138
Student_0114,Mathematics,A,45,95,23,63,117648
Student_0115,Engineering,D,34,140,22,75,136299
Student_0116,History,B,42,82,24,61,40738
Student_0117,Mathematics,A,2,122,21,84,144806
Student_0118,Mathematics,F,55,102,19,65,65275
Student_0119,Mathematics,E,55,111,18,100,38731
Student_0120,Literature,D,43,154,19,51,64831
Student_0121,Engineering,D,29,105,18,99,40290
Student_0122,Mathematics,E,37,139,24,64,123019
Student_0123,Engineering,C,28,103,18,56,98930
Student_0124,Biology,F,55,122,18,65,22319
Student_0125,Engineering,F,35,156,22,100,70909
Student_0126,Engineering,A,33,117,20,55,58279
Student_0127,Literature,F,59,136,25,65,135516
Student_0128,Literature,C,34,99,20,51,113669
Student_0129,Engineering,A,32,133,18,61,108434
Student_0130,Literature,C,48,136,21,73,44257
Student_0131,Mathematics,B,2,158,25,89,84509
Student_0132,Mathematics,A,0,140,24,70,97564
Student_0133,Literature,D,59,147,25,96,108455
Student_0134,History,A,9,154,18,96,66084
Student_0135,Mathematics,C,27,81,23,50,97326
Student_0136,Biology,E,35,97,18,70,115425
Student_0137,Literature,C,11,156,22,56,34161
Student_0138,Biology,A,44,154,18,77,94619
Student_0139,History,F,60,111,21,89,26547
Student_0140,Biology,B,56,82,18,89,50666
Student_0141,Engineering,E,17,158,19,95,78297
Student_0142,Engineering,B,48,137,19,76,114445
Student_0143,Literature,A,52,119,23,75,104517
Student_0144,Mathematics,E,35,95,23,65,93530
Student_0145,Literature,A,25,88,24,73,88019
Student_0146,Engineering,D,40,113,18,80,81773
Student_0147,Biology,A,25,134,20,82,42321
Student_0148,History,C,46,104,18,56,93055
Student_0149,Literature,C,7,145,22,70,133497
Student_0150,History,E,5,102,24,70,44753
Student_0151,Biology,E,25,111,19,78,60238
Student_0152,Literature,F,24,154,25,82,26488
Student_0153,Engineering,A,10,149,23,51,86312
Student_0154,Engineering,C,46,147,21,79,36846
Student_0155,Biology,D,59,96,20,100,131391
Student_0156,Mathematics,B,18,135,23,93,74609
Student_0157,Mathematics,E,58,106,19,74,94067
Student_0158,Mathematics,E,54,135,24,68,26456
Student_0159,Mathematics,D,28,127,19,76,86912
Student_0160,Mathematics,E,40,149,19,55,74339
Student_0161,History,D,13,80,21,100,120774
Student_0162,Mathematics,B,10,86,25,88,85187
Student_0163,Mathematics,F,49,160,21,50,55147
Student_0164,Literature,D,48,101,18,63,127777
Student_0165,History,D,50,96,21,79,133712
Student_0166,Engineering,A,54,115,19,78,112459
Student_0167,Biology,D,4,160,25,64,68982
Student_0168,Biology,E,18,93,18,93,46648
Student_0169,History,F,40,145,22,80,127481
Student_0170,Engineering,E,49,94,24,65,101100
Student_0171,Engineering,F,31,160,21,76,88492
Student_0172,History,F,21,84,19,75,21864
Student_0173,Engineering,F,50,118,22,73,148537
Student_0174,Biology,E,5,103,18,62,130323
Student_0175,Engineering,C,11,88,19,80,118169
Student_0176,History,F,38,154,25,67,115085
Student_0177,Engineering,A,6,121,20,93,145172
Student_0178,Engineering,A,25,83,18,55,64068
Student_0179,Engineering,D,15,129,19,66,41905
Student_0180,Biology,A,0,136,22,98,88739
Student_0181,Mathematics,A,20,138,25,89,36909
Student_0182,Literature,A,23,122,20,98,87966
Student_0183,Mathematics,B,55,148,24,51,104082
Student_0184,Literature,E,5,112,18,50,57471
Student_0185,Literature,C,21,142,23,63,98863
Student_0186,Mathematics,C,30,143,20,56,41316
Student_0187,Literature,D,32,102,23,66,89220
Student_0188,Mathematics,A,40,102,23,75,76549
Student_0189,History,B,40,122,19,71,122071
Student_0190,Biology,A,57,106,24,83,112058
Student_0191,Mathematics,C,20,128,21,83,32167
Student_0192,Mathematics,A,39,156,21,88,116181
Student_0193,Literature,A,9,144,18,70,80443
Student_0194,History,D,43,84,22,59,78274
Student_0195,Mathematics,E,37,99,22,65,139530
Student_0196,History,E,55,150,21,99,119414
Student_0197,Literature,C,18,149,20,89,43026
Student_0198,Biology,E,24,149,21,78,91888
Student_0199,Engineering,B,15,124,21,87,111557
Student_0200,Biology,E,4,138,18,56,114258
Student_0201,Literature,C,10,80,20,87,93672
Student_0202,Engineering,B,46,81,23,94,45112
Student_0203,Literature,C,24,98,22,65,22980
Student_0204,History,D,50,150,23,98,28760
Student_0205,Mathematics,C,24,115,22,82,102450
Student_0206,Engineering,D,41,93,22,73,105510
Student_0207,Biology,F,32,155,22,86,67215
Student_0208,Biology,C,54,139,22,69,107732
Student_0209,Engineering,F,39,145,24,97,129249
Student_0210,Literature,D,10,96,23,96,57321
Student_0211,Mathematics,D,32,100,24,56,38938
Student_0212,Engineering,A,53,159,24,73,137707
Student_0213,Engineering,B,45,81,23,61,86450
Student_0214,Literature,B,38,149,22,57,95277
Student_0215,Biology,F,30,96,23,83,78018
Student_0216,History,A,55,89,24,97,100441
Student_0217,History,F,4,96,18,57,33908
Student_0218,Mathematics,D,60,97,20,50,57528
Student_0219,Engineering,F,27,106,25,78,101795
Student_0220,Biology,A,19,105,19,66,127123
Student_0221,Literature,C,21,118,18,95,105572
Student_0222,History,E,21,100,22,59,128451
Student_0223,Biology,E,18,94,19,76,122035
Student_0224,Mathematics,D,22,157,21,61,56217
Student_0225,Engineering,A,0,148,23,86,65272
Student_0226,Mathematics,F,8,149,20,95,62019
Student_0227,Biology,E,59,100,24,58,116469
Student_0228,Engineering,A,47,122,20,97,78598
Student_0229,Literature,A,15,95,25,81,95967
Student_0230,History,E,14,128,25,71,24601
Student_0231,Engineering,D,1,143,24,94,36164
Student_0232,Literature,F,23,136,21,53,59484
Student_0233,Biology,D,29,80,21,50,76439
Student_0234,Mathematics,A,48,123,20,85,53163
Student_0235,Engineering,E,58,132,21,96,143602
Student_0236,History,B,43,103,24,88,53499
Student_0237,History,B,41,108,23,76,66064
Student_0238,History,F,47,143,24,94,54125
Student_0239,Literature,F,51,133,20,83,64657
Student_0240,Literature,B,32,153,25,96,101461
Student_0241,Engineering,F,14,93,20,80,100958
Student_0242,Engineering,D,23,157,21,79,116305
Student_0243,History,A,36,80,19,64,94330
Student_0244,Engineering,F,19,144,20,98,96998
Student_0245,Literature,D,47,145,19,58,121922
Student_0246,Engineering,B,10,127,21,67,113494
Student_0247,Literature,D,30,107,22,57,50839
Student_0248,Literature,B,33,92,19,52,68436
Student_0249,Mathematics,A,2,140,21,79,68472
Student_0250,Biology,B,28,111,24,87,59595
Student_0251,Biology,B,44,147,20,55,51493
Student_0252,History,D,57,118,19,85,88775
Student_0253,Mathematics,C,36,116,18,59,92987
Student_0254,Engineering,B,48,157,19,84,32408
Student_0255,Mathematics,F,5,102,23,66,70088
Student_0256,Biology,F,38,128,24,55,44120
Student_0257,Literature,F,32,116,20,92,30329
Student_0258,Engineering,D,7,87,23,88,36586
Student_0259,Literature,B,17,125,19,73,39968
Student_0260,Biology,D,28,129,23,91,30269
Student_0261,Mathematics,C,44,138,21,90,116104
Student_0262,Mathematics,B,1,132,25,96,43827
Student_0263,Biology,F,60,147,25,85,38080
Student_0264,Biology,D,30,102,23,83,137294
Student_0265,Engineering,A,43,101,25,85,94642
Student_0266,Engineering,D,22,107,21,71,79270
Student_0267,Biology,C,48,113,22,53,35006
Student_0268,Engineering,D,57,96,24,56,53271
Student_0269,Mathematics,F,8,119,18,71,114737
Student_0270,Literature,B,33,120,22,76,106396
Student_0271,Engineering,E,42,142,21,81,131465
Student_0272,History,A,12,98,18,56,81463
Student_0273,Engineering,D,15,134,23,75,25164
Student_0274,Biology,C,13,151,22,59,119124
Student_0275,Engineering,C,46,99,23,100,110602
Student_0276,Mathematics,E,0,94,19,93,65772
Student_0277,History,F,30,151,22,97,137701
Student_0278,Engineering,E,32,99,24,88,53450
Student_0279,Engineering,C,32,91,21,88,39540
Student_0280,Biology,E,12,136,20,71,121601
Student_0281,Mathematics,D,44,113,20,55,92314
Student_0282,Literature,C,31,116,24,65,36215
Student_0283,Engineering,E,32,109,22,78,106217
Student_0284,Engineering,B,28,126,21,63,90873
Student_0285,Engineering,A,34,92,24,97,83901
Student_0286,History,A,35,101,21,73,140750
Student_0287,Engineering,D,59,138,23,53,95418
Student_0288,Engineering,A,23,94,20,54,71312
Student_0289,History,D,13,133,20,92,95341
Student_0290,History,C,56,102,23,84,128564
Student_0291,Mathematics,A,13,156,21,96,67849
Student_0292,Literature,E,9,90,21,82,47045
Student_0293,History,F,1,102,20,72,138381
Student_0294,Mathematics,B,60,135,25,53,79429
Student_0295,Engineering,B,25,122,21,85,91080
Student_0296,Biology,F,44,147,20,99,80303
Student_0297,Biology,E,60,136,23,98,61059
Student_0298,Biology,D,9,109,22,61,149844
Student_0299,Biology,D,32,128,18,72,87480
Student_0300,Biology,C,19,91,24,79,61568
Student_0301,Mathematics,E,34,128,22,94,113047
Student_0302,Mathematics,D,57,123,18,58,102657
Student_0303,Mathematics,C,41,134,22,67,120664
Student_0304,Biology,B,7,131,19,53,41855
Student_0305,Mathematics,E,40,83,21,99,48434
Student_0306,Literature,A,32,84,25,77,41507
Student_0307,Mathematics,B,56,149,19,95,55644
Student_0308,Literature,A,30,153,19,75,132810
Student_0309,History,D,6,96,21,81,122326
Student_0310,Literature,E,1,81,23,94,56727
Student_0311,Mathematics,B,14,138,19,59,125132
Student_0312,Biology,C,56,115,25,94,21784
Student_0313,Engineering,E,37,142,19,72,69936
Student_0314,Engineering,E,30,132,21,72,49174
Student_0315,Literature,F,52,140,22,91,131629
Student_0316,Literature,A,6,148,20,55,149164
Student_0317,Engineering,F,29,159,24,89,132687
Student_0318,Biology,B,51,99,18,70,102691
Student_0319,Engineering,C,15,122,21,76,149427
Student_0320,Mathematics,E,17,114,24,66,96363
Student_0321,Literature,D,43,129,20,70,79853
Student_0322,Engineering,F,55,89,21,84,63295
Student_0323,Mathematics,C,10,91,18,97,97017
Student_0324,History,C,45,129,24,53,77002
Student_0325,Mathematics,A,28,145,24,75,40329
Student_0326,Biology,F,17,154,22,57,36000
Student_0327,Biology,B,50,146,20,93,79416
Student_0328,Engineering,D,51,113,21,59,93908
Student_0329,History,A,3,143,23,51,112110
Student_0330,Biology,B,51,114,22,97,66438
Student_0331,History,A,14,87,19,78,145527
Student_0332,Biology,A,35,119,25,59,149145
Student_0333,History,E,4,81,20,87,139619
Student_0334,Literature,A,29,142,22,75,86551
Student_0335,History,F,54,125,24,70,37731
Student_0336,Engineering,D,4,83,23,63,133934
Student_0337,Biology,C,21,149,22,74,84067
Student_0338,Engineering,A,42,120,18,94,35484
Student_0339,Biology,A,1,87,22,60,122617
Student_0340,Literature,C,1,127,18,93,135818
Student_0341,History,E,52,114,24,80,148108
Student_0342,History,D,3,82,23,90,28860
Student_0343,Mathematics,A,6,134,23,75,128984
Student_0344,Mathematics,E,45,100,21,76,56037
Student_0345,Mathematics,F,12,114,23,82,76740
Student_0346,History,E,30,86,18,87,112417
Student_0347,Engineering,E,25,117,20,58,85753
Student_0348,Engineering,D,37,141,18,53,40462
Student_0349,Engineering,A,32,97,18,59,146479
Student_0350,Biology,B,53,143,18,84,115956
Student_0351,History,D,24,148,19,60,116867
Student_0352,Literature,D,24,87,25,92,77306
Student_0353,Literature,B,48,115,21,57,80632
Student_0354,Literature,E,51,129,20,92,46150
Student_0355,History,E,9,81,25,88,118744
Student_0356,Biology,B,60,111,18,52,54440
Student_0357,Engineering,F,31,88,22,92,24304
Student_0358,Engineering,A,35,124,19,53,106856
Student_0359,History,F,12,141,25,70,122022
Student_0360,Mathematics,E,45,135,20,56,119301
Student_0361,History,B,25,85,23,84,30100
Student_0362,Engineering,F,41,135,25,87,30308
Student_0363,History,F,60,81,19,63,80665
Student_0364,Biology,B,20,148,24,66,69785
Student_0365,History,B,23,128,20,59,114226
Student_0366,Biology,E,0,160,21,96,44268
Student_0367,Biology,C,1,148,21,86,30313
Student_0368,History,E,20,87,19,88,46197
Student_0369,Biology,C,51,98,24,85,130283
Student_0370,History,B,42,101,18,69,81894
Student_0371,Mathematics,B,9,89,22,56,34446
Student_0372,History,C,24,119,24,79,27025
Student_0373,Biology,A,49,132,25,56,126470
Student_0374,Biology,A,57,127,22,75,64511
Student_0375,Engineering,C,22,84,18,64,93821
Student_0376,Mathematics,C,6,123,24,80,84621
Student_0377,History,D,27,137,18,71,70296
Student_0378,Mathematics,D,20,149,20,72,91900
Student_0379,Mathematics,C,28,117,21,71,57388
Student_0380,History,D,36,128,24,57,122547
Student_0381,Engineering,F,46,150,23,97,60500
Student_0382,History,A,32,128,24,86,106632
Student_0383,Engineering,F,20,146,22,59,57223
Student_0384,History,A,46,129,22,85,83730
Student_0385,History,F,37,116,19,57,48773
Student_0386,Mathematics,C,19,113,20,65,87011
Student_0387,Mathematics,C,45,136,18,78,138438
Student_0388,Literature,F,5,91,24,65,43844
Student_0389,Biology,F,25,141,25,99,24292
Student_0390,Biology,F,17,127,19,70,102110
Student_0391,Mathematics,E,18,83,25,77,20628
Student_0392,History,E,22,135,24,89,58015
Student_0393,History,F,56,160,25,83,59165
Student_0394,History,B,56,100,20,56,100267
Student_0395,Literature,A,50,102,21,82,131092
Student_0396,Biology,B,59,98,25,54,101581
Student_0397,Literature,A,22,87,24,90,116833
Student_0398,Engineering,A,6,121,24,56,21000
Student_0399,History,D,27,112,18,74,121205
Student_0400,Engineering,C,56,84,19,57,149125
Student_0401,Engineering,F,48,99,19,56,122767
Student_0402,Biology,C,20,138,24,63,52783
Student_0403,History,C,10,146,25,53,47970
Student_0404,Mathematics,F,41,121,18,77,120486
Student_0405,Biology,A,30,122,18,69,71393
Student_0406,Engineering,F,50,149,24,58,134452
Student_0407,Mathematics,C,53,106,19,80,142144
Student_0408,History,C,2,93,20,74,79383
Student_0409,Engineering,A,42,82,24,59,32032
Student_0410,Biology,B,33,118,20,88,149449
Student_0411,Literature,A,4,98,24,78,88160
Student_0412,Biology,A,47,117,21,77,114877
Student_0413,Biology,C,11,154,22,66,23948
Student_0414,History,F,6,81,20,76,39749
Student_0415,Mathematics,C,59,96,20,93,93263
Student_0416,Literature,D,11,113,25,78,73083
Student_0417,Engineering,A,55,150,22,85,113668
Student_0418,Engineering,D,37,97,18,73,98280
Student_0419,Biology,F,47,151,20,80,60041
Student_0420,Literature,F,14,107,23,51,76318
Student_0421,Biology,F,24,92,22,56,71462
Student_0422,History,E,53,90,25,69,38100
Student_0423,Literature,D,51,159,19,90,113783
Student_0424,History,E,24,103,22,68,131426
Student_0425,Biology,E,4,158,20,96,125516
Student_0426,Biology,D,40,158,25,71,128500
Student_0427,Engineering,D,38,123,22,99,27361
Student_0428,Literature,A,40,157,18,62,145259
Student_0429,Engineering,A,2,134,23,60,43810
Student_0430,Biology,B,52,152,20,91,104107
Student_0431,Mathematics,C,18,133,20,61,53882
Student_0432,History,E,32,110,19,91,107636
Student_0433,Mathematics,D,44,125,22,68,128796
Student_0434,History,C,25,103,23,51,98498
Student_0435,Engineering,E,49,101,23,97,82256
Student_0436,Biology,F,13,155,24,84,30817
Student_0437,Biology,C,8,99,20,78,48741
Student_0438,Biology,B,25,127,24,76,48739
Student_0439,History,A,29,82,21,94,79009
Student_0440,Mathematics,D,25,101,24,95,101138
Student_0441,Mathematics,C,12,144,21,71,138937
Student_0442,Biology,A,16,120,19,80,28980
Student_0443,Mathematics,F,3,119,22,100,118375
Student_0444,Engineering,E,52,144,19,73,103050
Student_0445,Engineering,F,41,158,21,54,44229
Student_0446,Engineering,F,7,136,23,64,144591
Student_0447,Literature,C,16,152,25,55,110371
Student_0448,Biology,F,5,152,25,67,60300
Student_0449,Literature,C,2,104,20,63,89142
Student_0450,Mathematics,F,28,123,19,68,41856
Student_0451,Literature,E,51,137,22,57,77127
Student_0452,History,B,29,98,18,81,55916
Student_0453,Engineering,F,36,119,23,89,23008
Student_0454,History,C,15,116,22,59,56163
Student_0455,Literature,F,12,132,22,96,56851
Student_0456,Mathematics,A,49,113,18,53,76380
Student_0457,Biology,E,3,93,24,75,93295
Student_0458,Literature,C,28,119,18,81,140246
Student_0459,Literature,E,14,113,25,60,106410
Student_0460,Biology,D,51,86,19,58,100116
Student_0461,History,C,19,85,24,87,116399
Student_0462,Mathematics,D,17,132,19,50,56747
Student_0463,Literature,D,38,94,20,51,94419
Student_0464,Engineering,D,0,97,22,68,84606
Student_0465,Literature,D,56,151,25,58,134596
Student_0466,History,A,28,90,18,69,22375
Student_0467,Literature,E,32,102,25,97,124687
Student_0468,Engineering,E,6,140,21,60,22678
Student_0469,Literature,D,39,119,19,84,118784
Student_0470,History,F,18,112,20,94,75812
Student_0471,Engineering,D,60,110,18,83,117978
Student_0472,History,B,20,135,25,74,48262
Student_0473,Mathematics,E,3,122,20,80,81562
Student_0474,History,E,26,154,23,95,138379
Student_0475,Mathematics,A,15,159,21,54,113990
Student_0476,Literature,D,50,158,23,90,142237
Student_0477,Engineering,D,55,88,22,87,92328
Student_0478,Literature,D,20,108,22,92,65246
Student_0479,Engineering,B,25,126,18,90,123818
Student_0480,Engineering,B,18,101,21,69,64820
Student_0481,Mathematics,E,2,159,19,51,66189
Student_0482,Engineering,A,60,127,19,98,99898
Student_0483,Biology,D,15,119,20,98,130221
Student_0484,Mathematics,B,32,117,19,95,106282
Student_0485,Literature,E,1,109,24,85,89268
Student_0486,Mathematics,B,48,130,22,91,87030
Student_0487,Biology,B,9,87,20,63,50858
Student_0488,Literature,C,18,88,19,89,53319
Student_0489,History,C,35,121,25,84,28571
Student_0490,Engineering,E,2,151,20,97,126579
Student_0491,Literature,D,28,142,22,58,57465
Student_0492,Literature,E,8,115,20,85,111827
Student_0493,Engineering,B,58,156,18,57,74267
Student_0494,Literature,A,30,107,24,57,87786
Student_0495,History,E,41,102,22,78,130813
Student_0496,Biology,C,46,103,24,86,32318
Student_0497,Mathematics,D,53,138,19,53,30603
Student_0498,History,B,17,142,21,90,50669
Student_0499,Literature,C,18,108,20,65,68147
Student_0500,Literature,E,7,83,21,97,60368
Student_0501,History,D,50,86,19,96,132311
Student_0502,Mathematics,F,31,142,24,84,96210
Student_0503,Biology,D,10,154,24,92,54912
Student_0504,History,B,45,107,18,50,36729
Student_0505,Biology,F,9,84,18,88,115540
Student_0506,Engineering,B,43,158,18,77,115083
Student_0507,Mathematics,A,50,132,22,51,97572
Student_0508,Literature,D,30,149,19,77,120104
Student_0509,Biology,A,52,94,25,56,62541
Student_0510,Mathematics,D,24,87,25,51,143735
Student_0511,Biology,A,3,125,18,59,29212
Student_0512,Biology,D,10,107,20,50,57039
Student_0513,Mathematics,A,19,116,24,68,132067
Student_0514,Engineering,A,39,136,23,88,100823
Student_0515,Literature,F,31,130,18,93,36046
Student_0516,Engineering,D,51,103,18,94,86803
Student_0517,History,D,49,85,23,51,77992
Student_0518,Engineering,F,31,90,24,90,77668
Student_0519,Biology,D,33,103,19,96,61060
Student_0520,Literature,D,1,92,24,58,116040
Student_0521,Mathematics,D,9,96,19,95,139482
Student_0522,Engineering,B,18,109,25,83,65117
Student_0523,History,C,13,148,20,76,62326
Student_0524,Engineering,C,43,87,25,66,68127
Student_0525,Mathematics,A,38,107,20,65,134401
Student_0526,Biology,D,38,112,21,87,123788
Student_0527,Literature,F,8,109,22,100,104802
Student_0528,Engineering,F,21,155,19,89,130367
Student_0529,Literature,A,58,150,23,96,122170
Student_0530,Mathematics,E,26,135,19,73,86535
Student_0531,Engineering,D,14,114,22,51,84292
Student_0532,History,F,58,123,25,83,58182
Student_0533,Literature,E,35,159,21,61,52272
Student_0534,Mathematics,C,54,141,23,95,23867
Student_0535,Biology,F,54,145,20,70,47046
Student_0536,History,D,42,132,22,64,138384
Student_0537,Literature,F,2,97,25,58,107904
Student_0538,Biology,A,33,107,25,52,66145
Student_0539,Literature,E,13,95,19,74,43418
Student_0540,Biology,E,26,82,24,73,34909
Student_0541,History,D,54,113,19,91,29264
Student_0542,Engineering,C,46,142,20,92,130759
Student_0543,History,E,54,148,24,58,56504
Student_0544,Literature,C,17,116,20,66,45718
Student_0545,Engineering,C,0,160,20,89,50760
Student_0546,Engineering,A,10,84,22,63,47086
Student_0547,Engineering,A,15,82,23,71,98071
Student_0548,Literature,E,47,130,20,92,38986
Student_0549,Literature,A,59,120,20,68,69040
Student_0550,Engineering,C,26,98,21,76,60217
Student_0551,Biology,E,58,92,23,56,77609
Student_0552,History,B,0,82,21,50,112789
Student_0553,Engineering,D,47,93,20,61,55081
Student_0554,Mathematics,F,10,128,24,100,113312
Student_0555,Biology,F,7,97,23,55,44065
Student_0556,Biology,C,22,107,21,86,103675
Student_0557,Mathematics,C,6,137,20,74,92057
Student_0558,History,B,6,97,23,66,20593
Student_0559,History,B,7,129,22,65,43838
Student_0560,Literature,D,38,90,24,78,126572
Student_0561,Mathematics,B,14,131,25,89,61822
Student_0562,Engineering,B,52,80,19,71,48362
Student_0563,History,B,54,135,22,98,29922
Student_0564,History,D,53,143,25,99,85968
Student_0565,Literature,C,18,151,24,75,108630
Student_0566,Literature,D,1,160,23,52,85651
Student_0567,History,A,46,85,23,73,138552
Student_0568,Mathematics,C,48,153,18,71,25001
Student_0569,Engineering,B,19,119,25,61,70767
Student_0570,Literature,F,15,80,23,76,57900
Student_0571,Literature,C,18,84,23,70,74442
Student_0572,Biology,E,20,152,19,98,111439
Student_0573,Literature,C,57,135,24,99,114120
Student_0574,Mathematics,A,17,122,22,56,66082
Student_0575,Mathematics,D,1,124,23,73,69534
Student_0576,Biology,F,50,92,20,53,71890
Student_0577,Biology,C,15,150,20,95,132792
Student_0578,Mathematics,C,42,86,24,60,105358
Student_0579,History,F,36,81,25,59,97478
Student_0580,History,D,33,96,23,54,102317
Student_0581,Mathematics,E,44,146,18,52,53636
Student_0582,History,E,19,123,20,74,111130
Student_0583,History,A,15,80,22,79,43571
Student_0584,History,B,47,133,18,89,21518
Student_0585,Engineering,A,7,122,20,58,101892
Student_0586,Mathematics,C,46,136,23,87,22570
Student_0587,Engineering,F,46,101,20,77,21014
Student_0588,Biology,D,59,154,21,87,67624
Student_0589,Mathematics,C,0,117,25,91,141429
Student_0590,Mathematics,E,39,144,24,87,30811
Student_0591,Engineering,B,33,159,18,52,62449
Student_0592,Engineering,B,8,152,19,70,57825
Student_0593,Mathematics,E,53,130,22,65,104739
Student_0594,Engineering,D,13,109,23,90,86341
Student_0595,History,D,51,122,21,80,144262
Student_0596,History,F,28,121,25,61,143788
Student_0597,History,E,41,93,23,54,103603
Student_0598,Mathematics,A,3,128,18,98,47890
Student_0599,Literature,A,4,81,21,75,30112
Student_0600,Engineering,B,12,143,21,87,102106
